# Simulador SO — 100 procesos
# Formato: proceso, llegada, ejecucion, tamanio_KB
P1, 0, 5, 30
P2, 2, 15, 120
P3, 2, 11, 24
P4, 4, 3, 24
P5, 6, 12, 15
P6, 6, 2, 80
P7, 6, 12, 30
P8, 6, 7, 12
P9, 8, 10, 4
P10, 9, 14, 12
P11, 9, 14, 200
P12, 10, 14, 60
P13, 12, 7, 12
P14, 13, 6, 24
P15, 14, 15, 180
P16, 16, 10, 50
P17, 18, 6, 50
P18, 20, 6, 100
P19, 20, 6, 96
P20, 22, 5, 128
P21, 23, 9, 96
P22, 25, 3, 60
P23, 27, 12, 60
P24, 29, 3, 30
P25, 29, 3, 70
P26, 30, 5, 40
P27, 31, 5, 96
P28, 32, 7, 12
P29, 34, 8, 80
P30, 34, 10, 24
P31, 34, 12, 40
P32, 34, 2, 50
P33, 36, 11, 60
P34, 37, 1, 150
P35, 38, 15, 5
P36, 38, 3, 64
P37, 40, 14, 60
P38, 42, 5, 15
P39, 44, 7, 150
P40, 45, 15, 180
P41, 46, 4, 128
P42, 48, 6, 70
P43, 50, 11, 12
P44, 52, 10, 24
P45, 54, 8, 20
P46, 56, 1, 90
P47, 58, 10, 5
P48, 59, 10, 150
P49, 61, 6, 15
P50, 62, 4, 15
P51, 64, 9, 10
P52, 64, 3, 8
P53, 65, 11, 96
P54, 67, 13, 80
P55, 69, 1, 60
P56, 70, 11, 8
P57, 72, 1, 12
P58, 73, 2, 50
P59, 74, 15, 25
P60, 76, 10, 128
P61, 76, 8, 70
P62, 77, 14, 5
P63, 77, 6, 32
P64, 77, 8, 80
P65, 79, 9, 64
P66, 79, 11, 20
P67, 80, 13, 5
P68, 81, 9, 128
P69, 81, 12, 12
P70, 82, 7, 120
P71, 82, 5, 50
P72, 84, 4, 40
P73, 84, 10, 30
P74, 85, 4, 100
P75, 86, 7, 5
P76, 87, 7, 60
P77, 87, 2, 180
P78, 87, 10, 4
P79, 89, 13, 30
P80, 89, 8, 64
P81, 91, 7, 32
P82, 91, 5, 70
P83, 92, 3, 12
P84, 92, 2, 40
P85, 92, 4, 30
P86, 93, 10, 48
P87, 94, 1, 40
P88, 94, 2, 40
P89, 95, 8, 90
P90, 97, 7, 5
P91, 98, 9, 30
P92, 98, 13, 5
P93, 99, 3, 80
P94, 101, 3, 4
P95, 101, 15, 120
P96, 101, 2, 64
P97, 102, 2, 40
P98, 103, 13, 20
P99, 103, 12, 24
P100, 105, 14, 24
