# Simulador SO — 50 procesos
# Formato: proceso, llegada, ejecucion, tamanio_KB
P1, 0, 6, 20
P2, 1, 12, 8
P3, 1, 9, 15
P4, 2, 10, 8
P5, 4, 4, 8
P6, 4, 7, 100
P7, 4, 4, 10
P8, 6, 7, 8
P9, 8, 2, 40
P10, 10, 12, 8
P11, 12, 10, 90
P12, 12, 4, 8
P13, 14, 3, 60
P14, 15, 3, 200
P15, 15, 10, 60
P16, 17, 12, 25
P17, 17, 10, 30
P18, 18, 2, 200
P19, 20, 2, 8
P20, 22, 4, 150
P21, 24, 9, 100
P22, 25, 8, 120
P23, 26, 5, 40
P24, 26, 15, 40
P25, 26, 10, 60
P26, 28, 8, 70
P27, 30, 8, 60
P28, 32, 2, 15
P29, 34, 7, 25
P30, 35, 3, 150
P31, 36, 1, 10
P32, 38, 10, 70
P33, 39, 15, 80
P34, 41, 8, 120
P35, 41, 2, 50
P36, 42, 15, 10
P37, 42, 15, 60
P38, 44, 10, 120
P39, 45, 15, 90
P40, 47, 6, 5
P41, 48, 6, 25
P42, 50, 2, 150
P43, 50, 4, 60
P44, 50, 15, 40
P45, 51, 7, 150
P46, 51, 3, 120
P47, 52, 9, 50
P48, 52, 7, 200
P49, 53, 15, 100
P50, 54, 12, 90
